time,open,high,low,close,volume
2020-03-02 05:00:00,69.7923325055,70.2461059748,68.8058684418,69.0524844577,640644
2020-03-02 06:00:00,69.1511308641,69.4002130402,68.8650562856,68.8650562856,318436
2020-03-02 07:00:00,68.8231315629,68.8231315629,67.3261723463,67.5062020379,299152
2020-03-02 08:00:00,67.4988035574,68.6603649924,67.2373905806,68.5962448283,1264044
2020-03-02 09:00:00,67.9427123861,68.8675224458,67.6960963702,68.8058684418,2608660
2020-03-02 10:00:00,68.8675224458,70.0956702051,68.4901999414,69.4569347239,49992688
2020-03-02 11:00:00,69.4372054426,70.6332931198,69.0006950944,70.3070201307,50273176
2020-03-02 12:00:00,70.295429178,72.2338310631,70.2683014162,72.1869740201,60898396
2020-03-02 13:00:00,72.1919063404,72.3941314735,71.2843594018,72.0192751293,42784620
2020-03-02 14:00:00,72.0192751293,72.0809291333,70.9021045772,71.674136015,27006292
2020-03-02 15:00:00,71.6678473066,71.9946135277,70.745256791,71.1092620305,28231804
2020-03-02 16:00:00,71.1051928663,74.3399318391,71.0402095461,73.6937978774,53529880
2020-03-02 17:00:00,73.6913317172,73.7085948383,73.1315133611,73.4052571387,6572040
2020-03-02 18:00:00,73.3559339356,73.6913317172,73.2375582479,73.3805955372,728140
2020-03-02 19:00:00,73.3559339356,73.5655575491,73.207964326,73.486640424,392620
2020-03-02 20:00:00,73.4915727443,73.7875119634,73.3830616973,73.7357226001,450748
2020-03-03 05:00:00,74.0587895809,74.4089843235,73.7381887602,74.2314207921,251776
2020-03-03 06:00:00,74.2314207921,74.3547288,74.1327743857,74.2190899913,211308
2020-03-03 07:00:00,74.2116915108,74.2116915108,73.5581590686,73.765316522,174560
2020-03-03 08:00:00,73.8565644479,74.7665775466,73.7381887602,74.1796314287,2921168
2020-03-03 09:00:00,74.1130451044,74.7271189841,73.6888655571,74.0859173427,3161932
2020-03-03 10:00:00,74.0834511825,75.0082612422,72.0759968129,72.588958126,52336076
2020-03-03 11:00:00,72.5692288448,74.9712688398,72.5149733213,73.8319028463,66411448
2020-03-03 12:00:00,73.8047750845,74.9096148359,71.7874560743,72.9662806304,41205116
2020-03-03 13:00:00,72.9860099117,73.3657985762,72.1993048209,72.4237253954,21167264
2020-03-03 14:00:00,72.4311238759,72.4311238759,71.0254125851,71.0648711477,27329740
2020-03-03 15:00:00,71.0821342688,71.6996607726,70.4828573501,71.5876971014,38437572
2020-03-03 16:00:00,71.5950955819,72.3645375516,70.9859540226,71.348479566,47511208
2020-03-03 17:00:00,71.3509457261,71.8885686408,71.1511867532,71.1881791556,4638588
2020-03-03 18:00:00,71.2695624409,71.3509457261,70.7171425652,70.7787965692,224360
2020-03-03 19:00:00,70.7787965692,70.9021045772,70.4162710258,70.8034581708,538436
2020-03-03 20:00:00,70.7787965692,71.7652606329,70.7787965692,71.7405990313,426716
2020-03-04 05:00:00,72.6777398918,73.0230023141,72.4557854775,72.9613483101,151552
2020-03-04 06:00:00,72.9712129507,73.1019194392,72.8503711029,72.9514836695,76952
2020-03-04 07:00:00,72.9958745523,73.1216487204,72.7517246966,73.0723255173,129012
2020-03-04 08:00:00,73.0945209587,73.6124145921,72.9490175093,73.2942799316,1431920
2020-03-04 09:00:00,73.3189415332,73.6123899305,72.7517246966,73.0969871188,2050412
2020-03-04 10:00:00,73.1216487204,73.609948432,72.2905527468,72.6851383723,33053988
2020-03-04 11:00:00,72.7073338137,73.5359636272,72.5938904464,72.7985817396,36275476
2020-03-04 12:00:00,72.8059802201,73.3510016152,72.588958126,72.8479049428,21014620
2020-03-04 13:00:00,72.8627019037,73.7357226001,72.8331079818,73.7233917993,16947300
2020-03-04 14:00:00,73.718459479,74.1673006279,73.6247453929,73.7229232289,27065380
2020-03-04 15:00:00,73.7283241196,74.0316618192,73.4472311847,73.7619872058,20560500
2020-03-04 16:00:00,73.7579180415,74.8232992303,73.5828206702,74.6654649801,43804672
2020-03-04 17:00:00,74.6605326598,74.6802619411,72.8401611999,74.3793904016,3200892
2020-03-04 18:00:00,74.3571949602,74.4262474447,74.3473303196,74.3941873626,993320
2020-03-04 19:00:00,74.3917212024,74.4139166439,74.1105789443,74.2338869522,255080
2020-03-04 20:00:00,74.2042930303,74.2289546319,73.9848047762,74.0587895809,330616
2020-03-05 05:00:00,73.2104304862,73.486640424,72.9983407125,73.2523552089,112228
2020-03-05 06:00:00,73.2498890487,73.2498890487,72.8380403021,72.8380403021,157716
2020-03-05 07:00:00,72.8750327045,73.1685057635,72.7443262161,72.9021604663,191028
2020-03-05 08:00:00,72.9835437515,73.3436031348,72.8627019037,73.1241148806,951632
2020-03-05 09:00:00,73.1956581868,73.3436031348,72.6284166886,72.9490175093,1511476
2020-03-05 10:00:00,72.9046266264,73.3510016152,72.5297702822,72.8651680639,25052456
2020-03-05 11:00:00,72.8553034232,73.7973766041,72.5790934854,73.4126556192,28103684
2020-03-05 12:00:00,73.4126556192,73.873827569,73.207964326,73.3460692949,19057628
2020-03-05 13:00:00,73.3411369746,73.4373172208,72.3127481882,72.5544318838,21297468
2020-03-05 14:00:00,72.5507326436,73.2079396644,72.3522067508,73.0082053531,19285572
2020-03-05 15:00:00,73.0008068726,73.0008068726,72.4508531571,72.618552048,15749892
2020-03-05 16:00:00,72.6160858878,72.7443262161,71.8663731994,72.2387633834,38778928
2020-03-05 17:00:00,72.2387633834,72.2806881061,72.0488690512,72.2264325826,3408804
2020-03-05 18:00:00,72.2264325826,72.2535603444,72.1376754785,72.2190341022,108744
2020-03-05 19:00:00,72.1968386607,72.4187930751,72.1006584145,72.3596052312,246660
2020-03-05 20:00:00,72.3694698719,72.603755087,72.2091694615,72.2461618639,327676
2020-03-06 05:00:00,71.272028601,71.272028601,70.4729927095,70.606165358,118620
2020-03-06 06:00:00,70.4360003071,70.4360003071,69.3114312745,69.7923325055,187784
2020-03-06 07:00:00,69.7972648258,70.1696550099,69.5728442513,69.9181066736,164708
2020-03-06 08:00:00,69.9649637167,70.3003614983,69.1264692625,69.6049043334,1480144
2020-03-06 09:00:00,69.5950396928,70.2954538396,69.1116723016,69.9205728338,1952684
2020-03-06 10:00:00,69.908242033,70.4113387055,69.1757924657,70.1334271171,33674696
2020-03-06 11:00:00,70.1375949278,71.5309754177,70.1166325664,70.9834878624,39223584
2020-03-06 12:00:00,70.9884201827,71.0328110656,70.0660762832,70.1666709561,24295484
2020-03-06 13:00:00,70.1770534903,70.9243000186,69.9378359549,70.3546170218,20039728
2020-03-06 14:00:00,70.3447523812,71.0833920105,70.1425272481,70.2362659958,17852836
2020-03-06 15:00:00,70.249805215,70.403323685,69.5432503294,69.6666323222,22175236
2020-03-06 16:00:00,69.6690244975,71.72086975,69.4470700832,71.2670962807,47467804
2020-03-06 17:00:00,71.272028601,71.3583442066,71.0254125851,71.0772019485,3730560
2020-03-06 18:00:00,71.1437882728,71.2794270815,70.6283607995,70.6998794441,1364300
2020-03-06 19:00:00,70.6431577604,70.8651121748,70.6308269596,70.7590672879,131620
2020-03-06 20:00:00,70.667819362,70.7639996082,70.4951881509,70.5321805533,117156
2020-03-09 05:00:00,66.9143235997,67.0548947288,65.7231682428,66.0930922667,404312
2020-03-09 06:00:00,66.1350169894,67.2275259399,66.1350169894,66.980909924,332368
2020-03-09 07:00:00,66.9562483224,67.2003981782,66.6652414236,66.825541834,322648
2020-03-09 08:00:00,66.7762186308,67.1856012172,66.1350169894,66.3643698842,955636
2020-03-09 09:00:00,66.9562483224,67.1288795336,65.2274700508,65.2274700508,2700404
2020-03-09 10:00:00,65.1806130078,67.8440659797,64.44076496,67.2526067888,34683296
2020-03-09 11:00:00,67.2374152422,68.406350496,66.4161592476,66.9414513615,50451068
2020-03-09 12:00:00,66.9389852013,68.4655383399,66.593722779,68.0980804761,37531792
