date,open,high,low,close,volume,TP,std,MA-TP,BOLU,BOLD
2021-12-21 05:00:00,913.07,916.25,909.5,909.5,31769,911.75,,,,
2021-12-21 06:00:00,908.99,913.0,908.99,913.0,5692,911.6633333333333,,,,
2021-12-21 07:00:00,912.65,915.8,912.65,913.81,11813,914.0866666666667,,,,
2021-12-21 08:00:00,915.15,915.45,912.0,912.0,67578,913.15,,,,
2021-12-21 09:00:00,912.9122,915.0,899.94,899.94,103963,904.96,,,,
2021-12-21 10:00:00,913.53,923.77,903.5,904.14,3635215,910.4699999999999,,,,
2021-12-21 11:00:00,904.14,907.89,886.12,896.16,4631077,896.7233333333334,,,,
2021-12-21 12:00:00,896.07,912.3435,893.23,908.88,2960626,904.8178333333334,,,,
2021-12-21 13:00:00,908.895,913.76,904.5301,913.76,1915808,910.6833666666666,,,,
2021-12-21 14:00:00,913.5975,936.6,913.16,928.125,3862531,925.9616666666666,,,,
2021-12-21 15:00:00,928.28,934.97,926.22,933.335,2422874,931.5083333333333,,,,
2021-12-21 16:00:00,933.339,939.5,928.7,938.41,2976351,935.5366666666667,,,,
2021-12-21 17:00:00,938.53,939.0,914.188663,935.2,326799,929.4628876666667,,,,
2021-12-21 18:00:00,935.75,937.01,935.02,935.32,33325,935.7833333333334,,,,
2021-12-21 19:00:00,935.8,935.84,932.51,933.6,129538,933.9833333333335,,,,
2021-12-21 20:00:00,933.3,934.0,930.01,930.4,50360,931.4699999999999,,,,
2021-12-22 05:00:00,943.0,959.75,936.4,959.75,107554,951.9666666666667,,,,
2021-12-22 06:00:00,959.8,961.92,956.79,959.4,32663,959.37,,,,
2021-12-22 07:00:00,959.98,966.51,959.98,962.0,56173,962.8299999999999,,,,
2021-12-22 08:00:00,961.72,978.0,961.7,973.15,494484,970.9499999999999,20.482375147732032,927.35637105,968.3211213454641,886.3916207545359
2021-12-22 09:00:00,967.5962,978.0,962.0,971.25,424759,970.4166666666666,22.16877893142083,930.2897043833333,974.627262246175,885.9521465204916
2021-12-22 10:00:00,971.5,985.1,957.05,983.06,5846503,975.07,23.755428952493197,933.4600377166665,980.970895621653,885.9491798116801
2021-12-22 11:00:00,983.3,999.7999,965.64,998.59,5529748,988.0099666666666,26.089789787197965,937.1562027166667,989.3357822910626,884.9766231422708
2021-12-22 12:00:00,998.65,1015.6599,997.3201,1005.15,5698417,1006.0433333333334,29.45439105603668,941.8008693833333,1000.7096514954067,882.8920872712599
2021-12-22 13:00:00,1005.38,1010.2499,993.51,996.1981,2788483,999.9859999999999,30.76360331934261,946.5521693833332,1008.0793760220184,885.024962744648
2021-12-22 14:00:00,996.18,1000.44,988.9001,996.16,2522702,995.1667000000001,31.329505959976522,950.7870043833333,1013.4460163032863,888.1279924633802
2021-12-22 15:00:00,996.31,1006.2699,969.4033,1004.54,2803500,993.4044,30.047262207294956,955.6210577166667,1015.7155821312566,895.5265333020767
2021-12-22 16:00:00,1005.17,1010.14,999.0,1008.63,3502379,1005.9233333333333,29.576168228015938,960.6763327166666,1019.8286691726985,901.5239962606347
2021-12-22 17:00:00,1008.87,1013.25,1007.99,1012.0,538664,1011.0799999999999,29.182403399083753,965.6961643833334,1024.060971181501,907.331357585166
2021-12-22 18:00:00,1011.85,1012.01,1001.11,1004.64,149516,1005.9200000000001,28.941072243772965,969.69408105,1027.576225537546,911.8119365624541
2021-12-22 19:00:00,1004.45,1005.84,1001.56,1004.0,61163,1003.8000000000001,28.456520674229107,973.3086643833334,1030.2217057317916,916.3956230348751
2021-12-22 20:00:00,1003.55,1004.5,1002.01,1003.0,74124,1003.1700000000001,27.777449074808015,976.6903310499999,1032.245229199616,921.1354329003839
2021-12-23 05:00:00,1009.48,1027.94,1007.1,1025.98,95283,1020.34,27.105039435211545,981.2341866666668,1035.44426553709,927.0241077962437
2021-12-23 06:00:00,1026.49,1027.8,1023.22,1024.02,38877,1025.0133333333333,26.595485730496478,985.6956866666666,1038.8866581276595,932.5047152056736
2021-12-23 07:00:00,1024.02,1024.25,1017.0,1017.99,40005,1019.7466666666666,24.762806292187022,989.9838533333332,1039.5094659177073,940.4582407489592
2021-12-23 08:00:00,1017.99,1023.0,1016.4,1020.4,171294,1019.9333333333334,21.6168265043934,994.40702,1037.6406730087867,951.1733669912132
2021-12-23 09:00:00,1021.3712,1023.0,1008.25,1010.56,343585,1013.9366666666666,19.664629700667625,997.50552,1036.8347794013353,958.1762605986648
